序号,学科门类,项目名称,项目名称分词,项目类别,申请人,学校名称,省份,地区,学校标签
134,马克思主义/思想政治教育,新时代共同富裕目标下城乡融合发展体制机制研究,新时代 共同 富裕 目标 城乡 融合 发展 体制 机制 研究,青年基金项目,唐教成,西南财经大学,四川,西部,双一流
135,马克思主义/思想政治教育,藏彝走廊民族互嵌社区节庆仪式铸牢中华民族共同体意识的路径研究,藏彝 走廊 民族 互嵌 社区 节庆 仪式 铸牢 中华 民族 共同体 意识 路径 研究,青年基金项目,黄佐毅,西南财经大学,四川,西部,双一流
136,马克思主义/思想政治教育,中国特色耐心资本发展壮大的理论与实践研究,中国 特色 耐心 资本 发展 壮大 理论 实践 研究,青年基金项目,邓育苗,西南财经大学,四川,西部,双一流
137,马克思主义/思想政治教育,数字经济时代马克思生产劳动理论再研究,数字 经济 时代 马克思 生产 劳动 理论 研究,青年基金项目,王珊,西南交通大学,四川,西部,双一流
138,马克思主义/思想政治教育,Z世代红色文化场景化传播的价值引导路径研究,Z世代 红色 文化 场景化 传播 价值 引导 路径 研究,规划基金项目,李田伟,西南林业大学,云南,西部,普通院校
139,马克思主义/思想政治教育,数智时代高校思政课教师新质素养提升研究,数智 时代 高校 思政 教师 新质 素养 提升 研究,规划基金项目,王玺,西南石油大学,四川,西部,双一流
140,马克思主义/思想政治教育,红色文化资源数字化赋能高校思想政治教育的作用机理与实践路径研究,红色 文化 资源 数字化 赋能 高校 思想 政治 教育 作用 机理 实践 路径 研究,规划基金项目,陈士勇,西南医科大学,四川,西部,普通院校
141,马克思主义/思想政治教育,老龄化背景下农村互助养老观念培育机制与实践策略研究,老龄化 背景 农村 互助 养老 观念 培育 机制 实践 策略 研究,青年基金项目,韦晰玄,咸阳职业技术学院,陕西,西部,普通院校
142,马克思主义/思想政治教育,数智时代高校思政教育主体性风险及其治理研究,数智 时代 高校 思政 教育 主体性 风险 及其 治理 研究,青年基金项目,罗宁子,湘潭大学,湖南,中部,双一流
143,马克思主义/思想政治教育,以数字记忆赋能新疆构筑中华民族共有精神家园研究,数字 记忆 赋能 新疆 构筑 中华 民族 共有 精神 家园 研究,青年基金项目,李莉莉,新疆财经大学,新疆,西部,普通院校
144,马克思主义/思想政治教育,基于创新型人才培养的高职院校“大思政课”实践育人体系建设研究,基于 创新型 人才 培养 高职 院校 大思 政课 实践 育人 体系 建设 研究,规划基金项目,刘巧芝,新疆石河子职业技术学院,新疆,西部,普通院校
145,马克思主义/思想政治教育,大运河沿线红色资源赋能高校思政课吸引力提升研究,大运河 沿线 红色 资源 赋能 高校 思政 吸引力 提升 研究,规划基金项目,钱俊,扬州工业职业技术学院,江苏,东部,普通院校
146,马克思主义/思想政治教育,《群书治要》德育思想系统挖掘及当代价值研究,群书 德育 思想 系统 挖掘 当代 价值 研究,规划基金项目,陈善江,云南大学,云南,西部,双一流
147,马克思主义/思想政治教育,抗战时期中国共产党青年情感动员的历史策略及当代启示研究,抗战 时期 中国 共产党 青年 情感 动员 历史 策略 当代 启示 研究,青年基金项目,卢慧,长安大学,陕西,西部,双一流
148,马克思主义/思想政治教育,生成式人工智能对高校意识形态风险挑战及应对策略研究,生成式 人工 智能 高校 意识 形态 风险 挑战 应对 策略 研究,规划基金项目,范琳琳,长春大学旅游学院,吉林,中部,普通院校
149,马克思主义/思想政治教育,网络“圈层化”视域下思想政治教育话语生产力研究,网络 圈层化 视域 思想 政治 教育 话语 生产力 研究,青年基金项目,孟婷,长春工业大学,吉林,中部,普通院校
150,马克思主义/思想政治教育,教育家精神驱动的高校思政课教师职业自觉养成机制及群体画像动态重塑研究,教育家 精神 驱动 高校 思政 教师 职业 自觉 养成 机制 群体 画像 动态 重塑 研究,青年基金项目,陈晶晶,长沙师范学院,湖南,中部,普通院校
151,马克思主义/思想政治教育,人工智能背景下湖湘红色文化基因谱系构建与活态化再生研究,人工 智能 背景 下湖 红色 文化 基因 谱系 构建 活态化 再生 研究,规划基金项目,周舟,长沙学院,湖南,中部,普通院校
152,马克思主义/思想政治教育,中华优秀传统文化同中国共产党人精神谱系双向互动的机理与路径研究,中华 优秀 传统 文化 中国 共产党人 精神 谱系 双向 互动 机理 路径 研究,青年基金项目,吴国龙,长沙学院,湖南,中部,普通院校
153,马克思主义/思想政治教育,高水平社会主义市场经济体制下规范和引导数字资本健康发展研究,水平 社会主义 市场 经济 体制 规范 引导 数字 资本 健康 发展 研究,规划基金项目,刘希良,长沙学院,湖南,中部,普通院校
154,马克思主义/思想政治教育,延安时期中国共产党自我革命的制度创新与政党韧性生成机制研究,延安 时期 中国 共产党 自我 革命 制度 创新 政党 韧性 生成 机制 研究,青年基金项目,李永杰,长沙学院,湖南,中部,普通院校
155,马克思主义/思想政治教育,大学生劳动价值观“知行转化”的运行要素与提升机制研究,大学生 劳动 价值观 知行 转化 运行 要素 提升 机制 研究,青年基金项目,陈辉,浙大宁波理工学院,浙江,东部,普通院校
156,马克思主义/思想政治教育,算法推荐下大学生数字情感茧房的形成机制及引导策略研究,算法 推荐 大学生 数字 情感 茧房 形成 机制 引导 策略 研究,青年基金项目,任紫君,浙大宁波理工学院,浙江,东部,普通院校
157,马克思主义/思想政治教育,当代青年文化主体性生成机制及推进路径研究,当代 青年 文化 主体性 生成 机制 推进 路径 研究,青年基金项目,于洋,浙江大学,浙江,东部,双一流
158,马克思主义/思想政治教育,新时代全面深化改革的基础和条件研究,新时代 全面 深化 改革 基础 条件 研究,规划基金项目,张万杰,浙江工商大学,浙江,东部,普通院校
159,马克思主义/思想政治教育,全媒体时代习近平生态文明思想大众化传播的场域构建、效果测度和深化路径研究,媒体 时代 习近平 生态 文明 思想 大众化 传播 场域 构建 效果 测度 深化 路径 研究,规划基金项目,胡小爱,浙江经贸职业技术学院,浙江,东部,普通院校
160,马克思主义/思想政治教育,中国共产党自我革命话语百年演进与经验启示研究,中国 共产党 自我 革命 话语 百年 演进 经验 启示 研究,规划基金项目,朱前星,浙江师范大学,浙江,东部,普通院校
161,马克思主义/思想政治教育,马克思早期思想发展中的“自我意识”问题研究,马克思 早期 思想 发展 自我 意识 问题 研究,规划基金项目,潘中伟,郑州大学,河南,中部,双一流
162,马克思主义/思想政治教育,党员干部党章阅读史研究（1921-1949）,党员 干部 党章 阅读史 研究 1921 1949,青年基金项目,田向勇,郑州大学,河南,中部,双一流
163,马克思主义/思想政治教育,数智化背景下国家认同教育空间的重构与整合研究,数智化 背景 国家 认同 教育 空间 重构 整合 研究,青年基金项目,赵颖,郑州大学,河南,中部,双一流
164,马克思主义/思想政治教育,马克思机器观视域下人工智能的人学审视与实践指向研究,马克思机 器观 视域 人工 智能 人学 审视 实践 指向 研究,青年基金项目,张子玥,中国海洋大学,山东,东部,双一流
165,马克思主义/思想政治教育,拉康话语理论视域下帝国主义叙事话语的演变与批判研究,拉康 话语 理论 视域 帝国主义 叙事 话语 演变 批判 研究,青年基金项目,陈宇,中国矿业大学,江苏,东部,双一流
166,马克思主义/思想政治教育,新时代基层党建引领乡村产业振兴研究,新时代 基层 党建 引领乡村 产业 振兴 研究,规划基金项目,孙乔婧,中国农业大学,北京,东部,双一流
167,马克思主义/思想政治教育,数字帝国主义的政治经济学批判与中国应对研究,数字 帝国主义 政治 经济学 批判 中国 应对 研究,青年基金项目,刘晓晓,中国石油大学（北京）,北京,东部,双一流
168,马克思主义/思想政治教育,2008年以来国外左翼学者对中国式现代化评价的变化趋势研究,2008年 以来 国外 左翼 学者 中国式 现代化 评价 变化 趋势 研究,青年基金项目,张娴,中国消防救援学院,北京,东部,普通院校
169,马克思主义/思想政治教育,数字化转型驱动下大学生总体国家安全观培育机制研究,数字化 转型 驱动 大学生 总体 国家 安全观 培育 机制 研究,青年基金项目,吴芍炎,中南大学,湖南,中部,双一流
170,马克思主义/思想政治教育,以中华文明标识铸牢中华民族共同体意识的理论逻辑与实践路径研究,中华 文明 标识 铸牢 中华 民族 共同体 意识 理论 逻辑 实践 路径 研究,青年基金项目,陈文婷,中南民族大学,湖北,中部,普通院校
171,马克思主义/思想政治教育,列宁经济思想在中国的早期传播及运用研究（1919-1927）,列宁 经济 思想 中国 早期 传播 运用 研究 1919 1927,规划基金项目,李天华,中南民族大学,湖北,中部,普通院校
172,马克思主义/思想政治教育,党的自我革命理论对马克思主义党建学说的守正创新研究,自我 革命 理论 马克思主义 党建学 守正 创新 研究,青年基金项目,韩笑,中央美术学院,北京,东部,双一流
173,马克思主义/思想政治教育,人工智能促进高校思想政治教育数字化的机制研究,人工 智能 促进 高校 思想 政治 教育 数字化 机制 研究,青年基金项目,任苗苗,重庆三峡学院,重庆,西部,普通院校
174,马克思主义/思想政治教育,情感认同视域下中国共产党执政话语亲和力提升路径研究,情感 认同 视域 中国 共产党 执政 话语 亲和力 提升 路径 研究,规划基金项目,李娟,重庆医科大学,重庆,西部,普通院校
175,马克思主义/思想政治教育,长征沿线红军标语收集整理及活化利用研究,长征 沿线 红军 标语 收集 整理 活化 利用 研究,规划基金项目,陈仁秀,遵义医科大学,贵州,西部,普通院校
